Horizonte,R2,MAE,RMSE,modelo,modelo_nome,dataset,dataset_nome,ticker,tipo,Accuracy,Precision,Recall,F1-Score,AUC-ROC
3 dias,0.9889427681182192,0.420440818348081,0.6249433823727807,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_base,Base,AGRO3,regressao,,,,,
7 dias,0.9768992763552192,0.6112558983572222,0.9121103334359856,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_base,Base,AGRO3,regressao,,,,,
15 dias,0.9565669460985932,0.8660712835171246,1.249363024876008,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_base,Base,AGRO3,regressao,,,,,
30 dias,0.9238330502706524,1.171894744199035,1.620225348028012,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_base,Base,AGRO3,regressao,,,,,
3 dias,0.9899971457181328,0.3827378972108328,0.5320527567231643,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_base,Base,SLCE3,regressao,,,,,
7 dias,0.9802473386897114,0.5638492640094933,0.7478927469000766,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_base,Base,SLCE3,regressao,,,,,
15 dias,0.9658025015515306,0.7285431680787572,0.977387518487153,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_base,Base,SLCE3,regressao,,,,,
30 dias,0.9322693784468764,1.008651713045789,1.3624624436951214,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_base,Base,SLCE3,regressao,,,,,
3 dias,0.9454006796837876,0.339177782792168,0.4328381173037562,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_base,Base,SOJA3,regressao,,,,,
7 dias,0.8562382738962739,0.5599434896116711,0.7063040183395253,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_base,Base,SOJA3,regressao,,,,,
15 dias,0.7428772397166357,0.7041254646732755,0.9112468030776172,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_base,Base,SOJA3,regressao,,,,,
30 dias,0.5917536440444378,0.949556119390462,1.219760376689292,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_base,Base,SOJA3,regressao,,,,,
3 dias,0.9889427681182192,0.420440818348081,0.6249433823727807,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_dummy,Dummy,AGRO3,regressao,,,,,
7 dias,0.9768992763552192,0.6112558983572222,0.9121103334359856,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_dummy,Dummy,AGRO3,regressao,,,,,
15 dias,0.9565669460985932,0.8660712835171246,1.249363024876008,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_dummy,Dummy,AGRO3,regressao,,,,,
30 dias,0.9238330502706524,1.171894744199035,1.620225348028012,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_dummy,Dummy,AGRO3,regressao,,,,,
3 dias,0.9899971457181328,0.3827378972108328,0.5320527567231643,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_dummy,Dummy,SLCE3,regressao,,,,,
7 dias,0.9802473386897114,0.5638492640094933,0.7478927469000766,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_dummy,Dummy,SLCE3,regressao,,,,,
15 dias,0.9658025015515306,0.7285431680787572,0.977387518487153,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_dummy,Dummy,SLCE3,regressao,,,,,
30 dias,0.9322693784468764,1.008651713045789,1.3624624436951214,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_dummy,Dummy,SLCE3,regressao,,,,,
3 dias,0.9454006796837876,0.339177782792168,0.4328381173037562,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_dummy,Dummy,SOJA3,regressao,,,,,
7 dias,0.8562382738962739,0.5599434896116711,0.7063040183395253,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_dummy,Dummy,SOJA3,regressao,,,,,
15 dias,0.7428772397166357,0.7041254646732755,0.9112468030776172,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_dummy,Dummy,SOJA3,regressao,,,,,
30 dias,0.5917536440444378,0.949556119390462,1.219760376689292,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_dummy,Dummy,SOJA3,regressao,,,,,
