Horizonte,R2,MAE,RMSE,modelo,modelo_nome,dataset,dataset_nome,ticker,tipo,Accuracy,Precision,Recall,F1-Score,AUC-ROC
30 dias,,,,random_forest,Random Forest,dataset_base,Base,AGRO3,classificacao,0.6608187134502924,0.6550119118417513,0.6608187134502924,0.6551156980415518,0.7268564356435644
3 dias,,,,random_forest,Random Forest,dataset_dummy,Dummy,SOJA3,classificacao,0.5730337078651685,0.571877894049437,0.5730337078651685,0.5712947589854034,0.5979127134724859
7 dias,,,,random_forest,Random Forest,dataset_dummy,Dummy,SOJA3,classificacao,0.6123595505617978,0.61242267390481,0.6123595505617978,0.6123717855284814,0.6573863636363636
15 dias,,,,random_forest,Random Forest,dataset_dummy,Dummy,SOJA3,classificacao,0.6404494382022472,0.6399925869418118,0.6404494382022472,0.6394902713072075,0.7204933586337761
30 dias,,,,random_forest,Random Forest,dataset_dummy,Dummy,SOJA3,classificacao,0.797752808988764,0.7994884443226455,0.797752808988764,0.7982171520293512,0.8781410256410256
3 dias,,,,random_forest,Random Forest,dataset_dummy,Dummy,SLCE3,classificacao,0.5467836257309941,0.5471877298035508,0.5467836257309941,0.5467565016437197,0.5574712643678161
7 dias,,,,random_forest,Random Forest,dataset_dummy,Dummy,SLCE3,classificacao,0.6578947368421053,0.6603289833779852,0.6578947368421053,0.6581610121613317,0.728561133797742
15 dias,,,,random_forest,Random Forest,dataset_dummy,Dummy,SLCE3,classificacao,0.6695906432748538,0.6708250465978748,0.6695906432748538,0.669927636747751,0.7509537065676875
30 dias,,,,random_forest,Random Forest,dataset_dummy,Dummy,SLCE3,classificacao,0.7076023391812866,0.706271429959819,0.7076023391812866,0.7063250919209308,0.7920841857078464
3 dias,,,,random_forest,Random Forest,dataset_dummy,Dummy,AGRO3,classificacao,0.5584795321637427,0.5583907871899535,0.5584795321637427,0.5584303882270856,0.6287279575415169
7 dias,,,,random_forest,Random Forest,dataset_dummy,Dummy,AGRO3,classificacao,0.6374269005847953,0.6349315475432655,0.6374269005847953,0.6329841034511161,0.6504386570875933
15 dias,,,,random_forest,Random Forest,dataset_dummy,Dummy,AGRO3,classificacao,0.6608187134502924,0.6574711701371809,0.6608187134502924,0.6568428032285886,0.6932118974644748
30 dias,,,,random_forest,Random Forest,dataset_dummy,Dummy,AGRO3,classificacao,0.695906432748538,0.6916474625830112,0.695906432748538,0.6907933844510464,0.7690417256011315
3 dias,,,,xgboost,XGBoost,dataset_janelas,Janelas,SOJA3,classificacao,0.5536723163841808,0.5528386918282951,0.5536723163841808,0.5528135810621687,0.5739130434782609
7 dias,,,,xgboost,XGBoost,dataset_janelas,Janelas,SOJA3,classificacao,0.5536723163841808,0.5539905188648613,0.5536723163841808,0.5536723163841808,0.5768837803320562
15 dias,,,,xgboost,XGBoost,dataset_janelas,Janelas,SOJA3,classificacao,0.7175141242937854,0.7180028439953718,0.7175141242937854,0.7162764284466189,0.746799795186892
30 dias,,,,xgboost,XGBoost,dataset_janelas,Janelas,SOJA3,classificacao,0.7344632768361582,0.7349273607748184,0.7344632768361582,0.7305734670181614,0.817922817922818
3 dias,,,,xgboost,XGBoost,dataset_janelas,Janelas,AGRO3,classificacao,0.5366568914956011,0.5351699118380514,0.5366568914956011,0.5344149087125154,0.5640760644894585
7 dias,,,,xgboost,XGBoost,dataset_janelas,Janelas,AGRO3,classificacao,0.5806451612903226,0.5755358900141235,0.5806451612903226,0.5732288400352529,0.5739287450517397
15 dias,,,,xgboost,XGBoost,dataset_janelas,Janelas,AGRO3,classificacao,0.6715542521994134,0.6689966002732174,0.6715542521994134,0.6648758711577047,0.7357512953367875
30 dias,,,,xgboost,XGBoost,dataset_janelas,Janelas,AGRO3,classificacao,0.718475073313783,0.7174214107656328,0.718475073313783,0.7092763585523089,0.7969793887704335
3 dias,,,,xgboost,XGBoost,dataset_janelas,Janelas,SLCE3,classificacao,0.5542521994134897,0.554410983918107,0.5542521994134897,0.5515647386615128,0.612888797137352
7 dias,,,,xgboost,XGBoost,dataset_janelas,Janelas,SLCE3,classificacao,0.6539589442815249,0.6544965786901271,0.6539589442815249,0.6541378446687786,0.7405969634230504
15 dias,,,,xgboost,XGBoost,dataset_janelas,Janelas,SLCE3,classificacao,0.6891495601173021,0.6896112470289398,0.6891495601173021,0.6864561178868382,0.7641509433962264
30 dias,,,,xgboost,XGBoost,dataset_janelas,Janelas,SLCE3,classificacao,0.6832844574780058,0.6814126026774583,0.6832844574780058,0.680409606580671,0.7684907633321716
3 dias,,,,xgboost,XGBoost,dataset_indicadores,Indicadores,SOJA3,classificacao,0.6724137931034483,0.672333386937444,0.6724137931034483,0.6718163054105513,0.7406084656084656
7 dias,,,,xgboost,XGBoost,dataset_indicadores,Indicadores,SOJA3,classificacao,0.7298850574712644,0.7308247769402734,0.7298850574712644,0.7297511914079634,0.7988900634249472
15 dias,,,,xgboost,XGBoost,dataset_indicadores,Indicadores,SOJA3,classificacao,0.8850574712643678,0.8856333325675604,0.8850574712643678,0.8848743688689308,0.9086455712961736
30 dias,,,,xgboost,XGBoost,dataset_indicadores,Indicadores,SOJA3,classificacao,0.9195402298850576,0.920014155407038,0.9195402298850576,0.9192801579008476,0.9526040969339938
3 dias,,,,xgboost,XGBoost,dataset_indicadores,Indicadores,AGRO3,classificacao,0.5946745562130178,0.5941727586794476,0.5946745562130178,0.5940014060423215,0.6315512708150745
7 dias,,,,xgboost,XGBoost,dataset_indicadores,Indicadores,AGRO3,classificacao,0.7159763313609467,0.7150608867164051,0.7159763313609467,0.7142712759265583,0.7678975664968873
15 dias,,,,xgboost,XGBoost,dataset_indicadores,Indicadores,AGRO3,classificacao,0.8313609467455622,0.8326722706972394,0.8313609467455622,0.8298338576416717,0.8980440967283073
30 dias,,,,xgboost,XGBoost,dataset_indicadores,Indicadores,AGRO3,classificacao,0.8550295857988166,0.8545882674647363,0.8550295857988166,0.8544300390072483,0.914375901875902
3 dias,,,,xgboost,XGBoost,dataset_indicadores,Indicadores,SLCE3,classificacao,0.5857988165680473,0.5858688421273764,0.5857988165680473,0.5858133194106044,0.64968308996043
7 dias,,,,xgboost,XGBoost,dataset_indicadores,Indicadores,SLCE3,classificacao,0.7544378698224852,0.7550046753685998,0.7544378698224852,0.7545562150917102,0.8236831947222514
15 dias,,,,xgboost,XGBoost,dataset_indicadores,Indicadores,SLCE3,classificacao,0.8254437869822485,0.8255165048866431,0.8254437869822485,0.8254729095733934,0.8942588103018165
30 dias,,,,xgboost,XGBoost,dataset_indicadores,Indicadores,SLCE3,classificacao,0.8727810650887574,0.8731419082589651,0.8727810650887574,0.8728923697112327,0.9419555901830932
3 dias,,,,xgboost,XGBoost,dataset_base,Base,SOJA3,classificacao,0.550561797752809,0.5486972009059126,0.550561797752809,0.5471138637117872,0.572675521821632
7 dias,,,,xgboost,XGBoost,dataset_base,Base,SOJA3,classificacao,0.5337078651685393,0.5337848237648145,0.5337078651685393,0.5299204947470701,0.5734848484848486
15 dias,,,,xgboost,XGBoost,dataset_base,Base,SOJA3,classificacao,0.6123595505617978,0.6126270733012307,0.6123595505617978,0.6080669504957993,0.6602783048703352
30 dias,,,,xgboost,XGBoost,dataset_base,Base,SOJA3,classificacao,0.6741573033707865,0.67332243364525,0.6741573033707865,0.6736545243609432,0.7635897435897436
3 dias,,,,xgboost,XGBoost,dataset_base,Base,AGRO3,classificacao,0.5701754385964912,0.569446512320405,0.5701754385964912,0.5667359496973327,0.6010957027906181
7 dias,,,,xgboost,XGBoost,dataset_base,Base,AGRO3,classificacao,0.6140350877192983,0.6161143599740091,0.6140350877192983,0.5914869140063274,0.6015301188173529
15 dias,,,,xgboost,XGBoost,dataset_base,Base,AGRO3,classificacao,0.6345029239766082,0.629998005767106,0.6345029239766082,0.6293333308316021,0.685358038450822
30 dias,,,,xgboost,XGBoost,dataset_base,Base,AGRO3,classificacao,0.672514619883041,0.6666886409072463,0.672514619883041,0.6625941361552524,0.7275106082036775
3 dias,,,,xgboost,XGBoost,dataset_base,Base,SLCE3,classificacao,0.5263157894736842,0.5260558804418453,0.5263157894736842,0.5260238423485525,0.5548029556650246
7 dias,,,,xgboost,XGBoost,dataset_base,Base,SLCE3,classificacao,0.6374269005847953,0.6370032788403556,0.6374269005847953,0.6371278403935053,0.6916886860437186
15 dias,,,,xgboost,XGBoost,dataset_base,Base,SLCE3,classificacao,0.6403508771929824,0.6397267346315498,0.6403508771929824,0.639901791974662,0.7287692889301303
30 dias,,,,xgboost,XGBoost,dataset_base,Base,SLCE3,classificacao,0.672514619883041,0.6707274739173731,0.672514619883041,0.6669642178557782,0.7514649284005408
3 dias,,,,xgboost,XGBoost,dataset_dummy,Dummy,SOJA3,classificacao,0.5955056179775281,0.5949879683435064,0.5955056179775281,0.5915125324114088,0.6007590132827325
7 dias,,,,xgboost,XGBoost,dataset_dummy,Dummy,SOJA3,classificacao,0.5898876404494382,0.590706101107703,0.5898876404494382,0.5880267466713728,0.6313131313131314
15 dias,,,,xgboost,XGBoost,dataset_dummy,Dummy,SOJA3,classificacao,0.6573033707865169,0.6584516995265353,0.6573033707865169,0.6543089022727607,0.7132194813409235
30 dias,,,,xgboost,XGBoost,dataset_dummy,Dummy,SOJA3,classificacao,0.7528089887640449,0.7528089887640449,0.7528089887640449,0.7528089887640449,0.8666666666666667
3 dias,,,,xgboost,XGBoost,dataset_dummy,Dummy,AGRO3,classificacao,0.5672514619883041,0.5664194889680005,0.5672514619883041,0.5640189799116527,0.6142098955658278
7 dias,,,,xgboost,XGBoost,dataset_dummy,Dummy,AGRO3,classificacao,0.6169590643274854,0.6201074327986625,0.6169590643274854,0.593957949940499,0.6332032329372754
15 dias,,,,xgboost,XGBoost,dataset_dummy,Dummy,AGRO3,classificacao,0.6461988304093568,0.641939412851129,0.6461988304093568,0.6392873479651131,0.6995855391473949
30 dias,,,,xgboost,XGBoost,dataset_dummy,Dummy,AGRO3,classificacao,0.672514619883041,0.6666886409072463,0.672514619883041,0.6625941361552524,0.7590523338048092
3 dias,,,,xgboost,XGBoost,dataset_dummy,Dummy,SLCE3,classificacao,0.5380116959064327,0.5380116959064327,0.5380116959064327,0.5380116959064327,0.5726087848932676
7 dias,,,,xgboost,XGBoost,dataset_dummy,Dummy,SLCE3,classificacao,0.6374269005847953,0.6383405619838018,0.6374269005847953,0.6376877266702886,0.7105967537146975
15 dias,,,,xgboost,XGBoost,dataset_dummy,Dummy,SLCE3,classificacao,0.6637426900584795,0.6638868806631965,0.6637426900584795,0.6638091126816482,0.7475856617520706
30 dias,,,,xgboost,XGBoost,dataset_dummy,Dummy,SLCE3,classificacao,0.695906432748538,0.6949591182256717,0.695906432748538,0.6912724408349661,0.7900731597378732
