Date,Close,High,Low,Open,Volume,agro_soja_close_lag_1d,agro_soja_close_lag_3d,agro_soja_close_lag_6d,agro_soja_close_lag_10d,agro_cambio_close_lag_1d,agro_cambio_close_lag_3d,agro_cambio_close_lag_6d,agro_cambio_close_lag_10d,Close_3d_fut,Close_7d_fut,Close_15d_fut,Close_30d_fut,OBV,FWMA,TEMA,HLC3,BB_upper,BB_middle,BB_lower
2023-06-23,9.80875015258789,9.836175059602429,9.689912376035672,9.717336411255848,354000,1500.5,1477.25,1388.25,1363.25,4.7623,4.7769,4.815,4.9221,9.45223331451416,10.585770606994627,10.238396644592283,10.786882400512695,-239900,9.830537457495142,9.795670031114883,9.77827919607533,10.25182657821047,9.942214918136596,9.632603258062723
2023-06-26,9.781326293945312,9.827033601333648,9.65334687941123,9.827033601333648,172500,1494.5,1514.75,1428.25,1386.5,4.7697,4.7893,4.8092,4.8779,9.589354515075684,10.284104347229004,10.69546890258789,10.576629638671877,-412400,9.811735603920585,9.777090975973266,9.753902258230063,10.210834543938274,9.920732545852662,9.63063054776705
2023-06-27,9.59849739074707,9.81789140759065,9.52536605179921,9.78132573811672,202700,1521.0,1500.5,1466.5,1372.75,4.7855,4.7623,4.807,4.8606,9.881880760192873,10.512639045715332,10.47607421875,10.457791328430176,-615100,9.730250792861225,9.701434337698867,9.64725161671231,10.194647578886691,9.892851209640503,9.591054840394314
2023-06-28,9.45223331451416,9.689910566830555,9.45223331451416,9.689910566830555,179800,1495.0,1494.5,1477.25,1399.25,4.7673,4.7697,4.7769,4.861,10.274962425231934,10.503499031066896,10.393800735473633,10.677186012268066,-794900,9.623964989644762,9.59593300875761,9.531459065286292,10.170261355019711,9.853543043136597,9.536824731253482
2023-06-29,9.589354515075684,9.662485844564223,9.40652619135433,9.461375124367844,255400,1451.0,1521.0,1514.75,1388.25,4.8105,4.7855,4.7893,4.815,10.585770606994627,10.594913482666016,10.631478309631348,11.417640686035156,-539500,9.610614046363754,9.56759445983382,9.552788850331412,10.152914597404079,9.830232334136962,9.507550070869845
2023-06-30,9.881880760192873,10.019001785803631,9.571072172227984,9.58935456880545,449500,1483.0,1495.0,1500.5,1428.25,4.8505,4.7673,4.7623,4.8092,10.284104347229004,10.677186012268066,10.832590103149414,11.728449821472168,-90000,9.714182877879114,9.651819836700394,9.823984906074829,10.149391528354705,9.828403949737549,9.507416371120392
2023-07-03,10.274962425231934,10.284104060293938,9.82703276872532,9.900164105632754,350200,1557.25,1451.0,1494.5,1466.5,4.8556,4.8105,4.7697,4.807,10.512639045715332,10.52178192138672,10.668044090270996,12.12153148651123,260200,9.928478061064745,9.855084934873773,10.128699751417065,10.227596925477844,9.84942922592163,9.471261526365417
2023-07-05,10.585770606994627,10.649760306204548,10.38465900288512,10.494356003728234,182900,1562.0,1483.0,1521.0,1477.25,4.8065,4.8556,4.7673,4.7893,10.503499031066896,10.329811096191406,10.421224594116213,11.956985473632812,443100,10.179755987550376,10.117342934173166,10.540063305361434,10.388970916691473,9.891022682189941,9.39307444768841
2023-07-06,10.284104347229004,10.594912973654573,10.27496271191194,10.585771338337508,235800,1547.25,1557.25,1495.0,1514.75,4.8399,4.7842,4.8105,4.7623,10.594913482666016,10.238396644592283,10.613195419311523,12.112388610839844,207300,10.219761599875367,10.207696389164422,10.384660010931839,10.438661076972592,9.920732307434083,9.402803537895574
2023-07-07,10.512639045715332,10.585770378028942,10.31152744595578,10.31152744595578,244700,1525.75,1562.0,1451.0,1500.5,4.8472,4.8065,4.8505,4.7697,10.677186012268066,10.69546890258789,10.40294361114502,12.432339668273926,452000,10.331831956248253,10.352337985020938,10.469978956566685,10.53374205966087,9.957297945022583,9.380853830384297
