Date,Close,High,Low,Open,Volume,target_3d,target_7d,target_15d,target_30d,OBV,FWMA,TEMA,HLC3,BB_upper,BB_middle,BB_lower
2023-05-10,10.46693229675293,10.46693229675293,10.284103956332544,10.32066962441662,176000,1,1,0,0,-2919000,10.335177136241303,10.268919525339056,10.4059895166128,10.761759620411503,10.320817899703979,9.879876178996454
2023-05-11,10.768599510192873,10.841730847948783,10.348093882199212,10.348093882199212,205800,0,1,0,0,-2713200,10.50078812477313,10.449720473203158,10.652808080113623,10.799718822086529,10.329690837860108,9.859662853633687
2023-05-12,11.006277084350586,11.243954374228885,10.658902784942534,10.695468454785784,475900,0,0,0,0,-2237300,10.6940915192842,10.667781710153665,10.969711414507335,10.914814306433883,10.357295417785645,9.799776529137407
2023-05-15,11.115973472595217,11.271377778691882,10.924003498698996,10.9971348342981,204200,0,0,0,0,-2033100,10.855448577757056,10.867183409448701,11.10378491666203,11.03184129728318,10.38445010185242,9.737058906421659
2023-05-16,10.750317573547363,11.216530525618271,10.64062056220027,11.033701301578768,125300,0,0,0,0,-2158400,10.815542808169042,10.884753597879527,10.869156220455302,11.065973042578083,10.398800134658815,9.731627226739548
2023-05-17,10.68632698059082,10.814307262870082,10.476074593768834,10.713751887232744,216400,1,0,0,0,-2374800,10.766417824472423,10.870309959544644,10.658902945743245,11.083279967926376,10.406298542022707,9.729317116119038
2023-05-18,10.777742385864258,11.033702097470568,10.558348347344566,10.622338057297538,626100,0,0,0,0,-1748700,10.770964447431583,10.886425232060443,10.789930943559797,11.108297934007032,10.415628623962403,9.722959313917775
2023-05-19,10.69546890258789,10.978853509583695,10.59491352425744,10.85087322387682,273200,0,0,0,0,-2021900,10.742353462544221,10.865210778777719,10.756411978809675,11.1249040354182,10.423127603530885,9.721351171643569
2023-05-22,10.814306259155272,10.814306259155272,10.558346590147638,10.63147792414982,151600,0,0,0,0,-1870300,10.770203771262333,10.886521820555172,10.72898636948606,11.162827385256232,10.43976411819458,9.716700851132927
2023-05-23,10.48521614074707,10.914862546309111,10.476074505276982,10.768599865965069,111400,0,0,0,1,-1981700,10.661508141376427,10.783739984780127,10.625384397444387,11.167453022058464,10.44451117515564,9.721569328252816
2023-05-24,10.210973739624023,10.56748969637541,10.146984031410078,10.503499116367076,232000,1,0,0,1,-2213700,10.489555028099076,10.607617648227299,10.308482489136503,11.163407948219328,10.45015459060669,9.736901232994052
2023-05-25,10.156124114990234,10.439508708565269,10.14698335142536,10.30238766535452,205200,0,0,0,1,-2418900,10.362112549207273,10.454621465344745,10.247538724993621,11.16254285658607,10.451229476928711,9.739916097271353
2023-05-26,10.238396644592283,10.32066961566023,10.15612367352434,10.183548578409852,99100,0,0,0,1,-2319800,10.314893940157628,10.368601908848389,10.238396644592285,11.160949184192406,10.454591941833495,9.748234699474585
2023-05-29,10.302387237548828,10.375518573797033,10.229255029506328,10.32981127069333,100700,0,0,0,1,-2219100,10.31007297237311,10.327669696591487,10.30238694695073,11.14922242076995,10.468761157989501,9.788299895209052
2023-05-30,10.05556869506836,10.42122538980766,9.991578991437564,10.42122538980766,204000,0,0,0,1,-2423100,10.212762240705818,10.212642318151445,10.156124358771194,11.138537235205886,10.47424602508545,9.809954814965012
2023-05-31,9.918448448181152,10.082993538117035,9.918448448181152,10.055569501760122,131100,0,1,0,1,-2554200,10.100033892579301,10.08089410184985,9.973296811493114,11.146765973569957,10.4705894947052,9.794413015840442
2023-06-01,9.854456901550291,10.14698312392598,9.772183928750705,10.14698312392598,370100,0,1,0,1,-2924300,10.005847218070503,9.963139766992619,9.92454131807566,11.167956849428892,10.460533905029298,9.753110960629703
2023-06-02,9.753901481628418,10.082992499392454,9.753901481628418,9.918447426407589,423900,1,1,1,1,-3348200,9.909027740873139,9.844087639288585,9.863598487549764,11.20607101211,10.434023761749268,9.661976511388536
2023-06-05,9.689911842346191,9.982437193368344,9.66248693684213,9.75390154493371,441200,1,1,0,1,-3789400,9.824872920285856,9.73763853662873,9.77827865751889,11.244015536155723,10.406142377853394,9.568269219551064
2023-06-06,9.781326293945312,9.891023308600689,9.644205243574689,9.753902258230063,518800,1,1,0,1,-3270600,9.807943785166401,9.695585405382182,9.772184948706895,11.25978209478733,10.376432800292969,9.493083505798609
2023-06-07,9.955013275146484,10.037285377230166,9.790467327390472,9.927588369324267,416500,1,0,0,1,-2854100,9.863747306576123,9.730856599990883,9.927588659922373,11.252619246757531,10.350836849212646,9.449054451667761
