Date,Close,High,Low,Open,Volume,Close_3d_fut,Close_7d_fut,Close_15d_fut,Close_30d_fut,dummy_period,period_1,period_2
2024-01-10,16.34004783630371,16.665547157605612,16.30284887680473,16.60044764811095,3038100,16.5074462890625,17.595542907714844,17.762943267822266,18.014041900634766,2,0.0,1.0
2024-01-11,16.395845413208008,16.41444577788734,16.144747585350668,16.34004609299842,2463500,16.83294677734375,17.50254249572754,17.874540328979492,18.014041900634766,2,0.0,1.0
2024-01-12,16.433046340942383,16.78644440497377,16.330746107799524,16.4981458442775,2190900,17.48394203186035,17.753643035888672,17.781543731689453,18.283740997314453,2,0.0,1.0
2024-01-15,16.5074462890625,16.68414621080049,16.40514605429391,16.451646967292568,1290500,17.855941772460938,17.781543731689453,17.762943267822266,18.33953857421875,2,0.0,1.0
2024-01-16,16.83294677734375,16.83294677734375,16.405147216589025,16.479546908829597,3029100,17.595542907714844,17.995441436767578,18.014041900634766,18.283740997314453,2,0.0,1.0
2024-01-17,17.48394203186035,17.567641899656266,16.646945127729623,16.721344813122837,7217600,17.50254249572754,17.948942184448242,18.172142028808597,18.13494110107422,2,0.0,1.0
2024-01-18,17.855941772460938,17.855941772460938,17.223543576002974,17.483941581253873,4595800,17.753643035888672,17.623443603515625,17.762943267822266,17.93964385986328,2,0.0,1.0
2024-01-19,17.595542907714844,18.1163407191077,17.456043715677456,17.8838414744359,4470600,17.781543731689453,17.679243087768555,17.855941772460938,18.004741668701172,2,0.0,1.0
2024-01-22,17.50254249572754,17.632741502445462,17.344442941643596,17.586242363997183,2394600,17.995441436767578,17.762943267822266,17.270044326782227,17.995441436767578,2,0.0,1.0
2024-01-23,17.753643035888672,17.902442415356784,17.48394305195989,17.530443966686505,2343800,17.948942184448242,17.874540328979492,17.409542083740234,17.8094425201416,2,0.0,1.0
2024-01-24,17.781543731689453,17.855943422038425,17.49324337948722,17.781543731689453,2085500,17.623443603515625,17.781543731689453,18.13494110107422,17.97684097290039,2,0.0,1.0
2024-01-25,17.995441436767578,18.55343996461859,17.865240656844342,18.032640392582486,3982100,17.679243087768555,17.762943267822266,17.837343215942383,17.716442108154297,2,0.0,1.0
2024-01-26,17.948942184448242,18.144242485478262,17.762943840517625,18.01404346734397,1542800,17.762943267822266,18.014041900634766,18.59993934631348,17.586244583129883,2,0.0,1.0
2024-01-29,17.623443603515625,17.948941129724318,17.49324281920367,17.948941129724318,1553000,17.874540328979492,18.172142028808597,18.293041229248047,17.511842727661133,2,0.0,1.0
